Word            Count
---------------------
a                  10
accompanying        1
accomplish          1
accuracy            1
actual              1
algorithms          3
algorithms'         1
also                1
an                  2
analysis            1
and                 6
any                 1
application         1
are                 1
artifacts           1
as                  5
automate            1
be                  2
build               1
building            1
but                 2
by                  1
can                 2
central             1
chosen              1
code                5
coding              2
combines            1
common              1
commonly            1
complex             1
computer            6
computing           1
considered          1
consumption         1
debugging           1
derived             1
designing           1
development         2
different           1
directly            1
domain              1
encyclopedia        1
engineering         3
executable          1
executed            1
expert              1
expertise           1
find                1
for                 3
formal              1
free                1
from                1
generating          1
given               1
hacker              2
implementation      3
in                  4
include             1
including           1
instructions        1
intelligible        1
involves            1
is                  7
it                  1
knowledge           2
language            2
languages           1
larger              1
logic               1
machine             2
maintenance         1
management          1
mean                1
might               1
more                1
of                 13
often               3
on                  1
one                 1
operating           1
opposite            1
or                  2
overcome            1
part                1
performance         1
practices           1
problem             2
process             5
processing          1
profiling           1
program             2
programmers         1
programming         9
programs            1
purpose             1
rather              1
referred            1
related             1
requires            1
reserved            1
resource            1
result              1
reverse             1
security            1
sequence            1
several             1
skilled             1
software            3
solving             1
source              2
specialized         1
specific            1
subjects            1
such                2
system              1
systems             1
task                1
tasks               2
technical           1
techniques          1
term                2
testing             1
than                1
that                3
the                15
their               1
these               1
this                1
thus                1
to                  6
unit                1
used                1
uses                1
which               2
wikipedia           1
will                1
with                2
writing             1
written             1
